question,answer,guess,label
enormously,tremendously,appropriately,guess
provisions,stipulations,stipulations,guess
haphazardly,randomly,dangerously,guess
prominent,conspicuous,battered,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,lustrous,wrong
urgently,desperately,typically,guess
consumed,eaten,caught,wrong
advent,coming,coming,correct
concisely,succinctly,freely,wrong
salutes,greetings,information,wrong
solitary,alone,restless,wrong
hasten,accelerate,permit,wrong
perseverance,endurance,disturbance,wrong
fanciful,imaginative,familiar,wrong
showed,demonstrated,repeated,wrong
constantly,continually,accidentally,wrong
issues,subjects,training,wrong
furnish,supply,supply,correct
costly,expensive,popular,wrong
recognized,acknowledged,successful,wrong
spot,location,climate,wrong
make,earn,borrow,wrong
often,frequently,definitely,guess
easygoing,relaxed,frontier,guess
debate,argument,war,wrong
narrow,thin,thin,correct
arranged,planned,studied,wrong
infinite,limitless,limitless,guess
showy,striking,striking,guess
levied,imposed,imposed,correct
deftly,skillfully,skillfully,guess
distribute,circulate,commercialize,guess
discrepancies,differences,weights,guess
prolific,productive,productive,guess
unmatched,unequaled,unrecognized,guess
peculiarly,uniquely,partly,wrong
hue,color,contrast,wrong
hind,rear,curved,guess
highlight,accentuate,alter,guess
hastily,hurriedly,shrewdly,wrong
temperate,mild,mild,correct
grin,smile,exercise,wrong
verbally,orally,orally,guess
physician,doctor,chemist,wrong
essentially,basically,possibly,wrong
keen,sharp,useful,wrong
situated,positioned,rotating,guess
principal,major,numerous,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,guess
tasks,jobs,customers,wrong
unlikely,improbable,disagreeable,wrong
halfheartedly,apathetically,customarily,guess
annals,chronicles,homes,wrong
wildly,furiously,distinctively,guess
hailed,acclaimed,judged,wrong
command,mastery,observation,wrong
concocted,devised,devised,guess
prospective,potential,particular,guess
generally,broadly,descriptively,guess
sustained,prolonged,refined,wrong
perilous,dangerous,offensive,wrong
tranquillity,peacefulness,peacefulness,guess
dissipate,disperse,disperse,guess
primarily,chiefly,occasionally,guess
colloquial,conversational,recorded,guess
resolved,settled,publicized,guess
feasible,possible,permitted,wrong
expeditiously,rapidly,frequently,wrong
percentage,proportion,volume,guess
terminated,ended,ended,correct
uniform,alike,hard,wrong
figure,solve,divide,wrong
sufficient,enough,recent,wrong
fashion,manner,ration,guess
marketed,sold,frozen,guess
bigger,larger,larger,correct
roots,origins,origins,guess
normally,ordinarily,haltingly,guess
